Video ID,Título,Data de Publicação,Duração,Playlists
--9G_GYL6ZY,2023 02 25 - Retiro de Verão 2023 - #9.5,2023-02-20T14:28:31Z,PT2H56M26S,
--y_eq4XeIY,#838 Prática de Prajnaparamita e Buda da Medicina | 26/07/22,2022-07-26T23:20:30Z,PT1H31M40S,
-0xgFVzA5U0,Retiro de Inverno 2012 | Parte 14/14,2012-09-04T08:37:47Z,PT1H48M46S,
-1fOffiv2bw,#18 Estudo “Sutra Surangama - O Sutra da Grande Coroa do Buda”  - Lama Padma Samten,2021-06-30T22:17:45Z,PT1H53M20S,
-29QEsBODs0,TESTE OBS,2022-08-30T16:35:30Z,PT3M16S,
-2HpSZSyoCU,2022 07 13 - Retiro de Inverno 2022 - 2ªparte - #3,2022-07-10T22:19:35Z,PT3H23M41S,
-3QWhD7UBA0,#18 Retiro de Verão | 2018,2018-02-16T19:41:23Z,PT2H13M15S,
-3zIQuo388w,"2024/06/23 - Retiro ""Visão Profunda das Oito Consciências como Caminho"" - CEBB Maceió | #03",2024-05-27T18:41:31Z,PT3H26M16S,
-4CK_FOKWkE,#649 Prática de Prajnaparamita e Buda da Medicina | 18/01/22,2022-01-18T23:03:04Z,PT55M21S,
-4n7g3tDvMM,2022 09 25 - Retiro |  Amadurecimento Progressivo da Visão e Meditação - #12,2022-09-16T10:42:50Z,PT2H53M45S,
-6Poqw6HNGA,"(LIBRAS) Palestra: ""Meditação e ação na vida cotidiana"" | CEBB Fortaleza",2023-09-15T21:16:46Z,PT20M40S,
-82u2Fw9v7s,#1573 Puja Diário | 01/08/24,2024-08-02T11:17:11Z,PT1H7M56S,
-8aPpCPtdd4,"2021 11 14 - MANHÃ - Retiro | As Oito Consciências, As Cinco Sabedorias e o Sofrimento",2022-11-22T00:10:23Z,PT3H25M6S,
-9VYZ20mxqI,#1380 Puja Diário | 21/01/24,2024-01-22T10:57:19Z,PT52M16S,
-Aw9vHp4txs,2025 01 30 - Retiro de Verão 2025 no CEBB Sukhavati #15,2025-01-31T03:22:46Z,PT2H24M10S,
-CM7iZQOtfY,#1457 Puja Diário | 07/04/24,2024-04-08T11:02:45Z,PT58M1S,
-DNu_OxizkY,#230 Prática Prajnaparamita e Buda da Medicina | 28/11/2020,2020-11-29T00:08:22Z,PT1H13S,
-DZG163k1m0,"[ VÍDEO SUBSTITUÍDO: Roteiro de 8 Pontos de Prajnaparamita, parte 2 | Retiro de Verão 2017 #8 ]",2017-02-20T20:13:35Z,PT2H6M3S,
-DiAis3RipU,#1629 Puja Diário | 26/09/24,2024-09-27T11:01:22Z,PT52M11S,
-ELjgLNePls,#985 Prática de Prajnaparamita e Buda da Medicina  | 20/12/22,2022-12-20T23:27:12Z,PT1H57M35S,
-ETbUEmy2Uk,#942 Prática de Prajnaparamita e Buda da Medicina  | 07/11/22,2022-11-07T23:35:41Z,PT1H34M,
-EVUgOtgKjQ,Virada Zen | Amanhã da Paz com Lama Padma Samten | 21/09/2020,2020-09-22T00:28:15Z,PT1H1M5S,
-GlJB5a1ux4,"""Prajnaparamita e a Mandala das 5 Sabedorias"" 4",2012-11-07T00:28:34Z,PT2H24M17S,
-HA8KCtZTuQ,#789 Prática de Prajnaparamita e Buda da Medicina | 07/06/22,2022-06-07T23:14:07Z,PT1H5M51S,
-IcUYxU3JBI,#1510 Puja Diário | 30/05/24,2024-05-31T11:24:28Z,PT50M5S,
